start,Speaker,text,Evaluate,Expand,Repeat,Completion,Recall,Open-end,Wh,Distancing,Notes
00:00:00,*FAT,遊戲時間躲貓貓 翻一翻,,,,,,,,,只是在唸書文本，未對小孩提問或互動
00:09:00,*FAT,(寶寶名)你看，翻一翻，你摸這邊，哇毛毛的,,,,,,,,,發出指令讓小孩觸摸書本並描述材質，非提問或互動
00:14:00,*FAT,有沒有像你的兔兔?,,,,,,,,1,提及「你的兔兔」將書中物與小孩生活經驗連結
,*FAT,大耳朵的大象在哪裡,,,,,,,1,,使用「在哪裡」詢問位置，屬WH問句
00:21:00,*FAT,"哇,大耳朵大象,你看耳朵這麼大一個",,,,,,,,,描述大象特徵，未與小孩互動
00:26:00,*FAT,在積木的後面嗎,,,,,,,,,是非問句「在積木的後面嗎」，不列入WH
,*FAT,這個是遊戲時間躲貓貓,,,,,,,,,唸書文本，未對小孩提問或互動
00:33:00,*FAT,"在哪邊,在積木的後面,哇找到了",,,,,,,,,「在哪邊」無明確主詞，問句模糊，不編碼
,*CHI,呵呵,,,,,,,,,Speaker為CHI，跳過編碼
00:39:00,*FAT,"毛毛的，對啊,躲貓貓啊",,,,,,,,,描述書本內容並回應笑聲，未針對小孩言語進行編碼
,*FAT,大耳朵的大象在躲貓貓啊,,,,,,,,,敘述故事情節，不屬於任何編碼規則
00:47:00,*FAT,"打開看哦,我們看見了什麼?",,,,,,,1,,使用WH問句「什麼」詢問看見的物品
,*FAT,可愛的小馬在哪裡,,,,,,,1,,使用WH問句「在哪裡」詢問地點
00:53:00,*FAT,"在哪裡呢,在帽子的後面嗎",,,,,,,,,是是非問句，不屬於WH
00:56:00,*FAT,"欸真的耶,找到了",,,,,,,,,表達找到的反應，敘述故事情節
01:00:00,*FAT,可愛的小馬在這邊,,,,,,,,,敘述故事情節
